nveh,mean_speed,heavy_share,congestion_score,emission_score,aqi_proxy,label
1.0,19.039118978565817,0.0,12.313938247155203,7.021762042868366,138.2537002900236,no_action
1.0,49.92147048738493,0.0,1.4,1.1,125.81800000000003,no_action
1.0,26.355304067850653,0.0,1.4,1.1,125.81800000000003,no_action
1.0,39.79133098196521,0.0,1.4,1.1,125.81800000000003,no_action
3.0,16.978651848898956,0.0,21.646965932422297,16.14269630220209,157.4076622346244,idling_restriction
1.0,45.358333456132165,0.0,1.4,1.1,125.81800000000003,no_action
4.0,43.567047320431264,0.0,5.6,4.4,132.74800000000002,no_action
1.0,47.88356159474305,0.0,1.4,1.1,125.81800000000003,no_action
2.0,40.12998817606131,0.0,2.8,2.2,128.12800000000001,no_action
1.0,41.42621845741048,0.0,1.4,1.1,125.81800000000003,no_action
2.0,55.1452129199094,0.0,2.8,2.2,128.12800000000001,no_action
1.0,59.99399999938289,0.0,1.4,1.1,125.81800000000003,no_action
1.0,60.862339018394124,0.0,1.4,1.1,125.81800000000003,no_action
4.0,52.42560458902987,0.0,5.6,4.4,132.74800000000002,no_action
1.0,10.73731352333937,0.0,30.577910248653385,23.62537295332126,173.12128320197468,no_action
1.0,25.785835833126146,0.0,1.4,1.1,125.81800000000003,no_action
1.0,29.987180391806852,1.0,1.4,5.1,224.21800000000002,no_action
1.0,59.93681226997762,0.0,1.4,1.1,125.81800000000003,no_action
3.0,4.619059631931697,0.0,50.83806880975027,43.6618807361366,215.1979495458869,speed_harmonization
3.0,40.015549430276664,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
2.0,41.75737121550458,0.0,2.8,2.2,128.12800000000001,no_action
2.0,33.28142559277734,0.0,2.8,2.2,128.12800000000001,no_action
1.0,35.21790083167132,0.0,1.4,1.1,125.81800000000003,no_action
1.0,18.641388857733098,0.0,13.188944512987186,7.817222284533804,139.92416679752102,no_action
1.0,27.772710119792976,1.0,1.4,5.1,224.21800000000002,no_action
3.0,29.960784518237006,0.0,6.199999999999999,6.1,136.318,speed_harmonization
1.0,48.73575750574497,0.0,1.4,1.1,125.81800000000003,no_action
2.0,44.48827384340774,0.0,2.8,2.2,128.12800000000001,no_action
1.0,48.666527965593424,0.0,1.4,1.1,125.81800000000003,no_action
2.0,16.788738324571046,0.0,18.6647756859437,12.622523350857907,150.01529903680162,no_action
1.0,20.91338469127097,0.0,8.190553679203866,3.27323061745806,130.38178429666195,no_action
1.0,85.53433280084003,0.0,1.4,1.1,125.81800000000003,no_action
2.0,69.57297835548835,0.5,2.8,6.2,181.52800000000002,heavy_vehicle_ban
2.0,75.75380064457367,0.5,2.8,6.2,181.52800000000002,no_action
1.0,35.537575358946654,0.0,1.4,1.1,125.81800000000003,no_action
1.0,18.215121561752554,0.0,14.126732564144383,8.669756876494892,141.71448944063928,no_action
1.0,64.48151353829287,0.0,1.4,1.1,125.81800000000003,no_action
1.0,64.99799999879409,0.0,1.4,1.1,125.81800000000003,no_action
1.0,59.74609218714167,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.848896916580685,0.0,1.4,1.1,125.81800000000003,no_action
1.0,18.57656703791822,0.0,13.331552516579917,7.946865924163559,140.1964184407435,no_action
3.0,61.06727424507656,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
2.0,81.11954365864564,0.0,2.8,2.2,128.12800000000001,no_action
1.0,67.81472278368632,0.0,1.4,1.1,125.81800000000003,no_action
1.0,73.5241678664833,0.0,1.4,1.1,125.81800000000003,no_action
2.0,32.78088911125072,0.0,2.8,2.2,128.12800000000001,no_action
1.0,29.9879634806831,1.0,1.4,5.1,224.21800000000002,no_action
1.0,50.003999995718075,0.0,1.4,1.1,125.81800000000003,no_action
1.0,27.437170645510307,0.0,1.4,1.1,125.81800000000003,no_action
1.0,59.98025875124309,0.0,1.4,1.1,125.81800000000003,no_action
1.0,50.004000000000005,0.0,3.4,3.9,131.69800000000004,no_action
1.0,72.56166510136053,0.0,1.4,1.1,125.81800000000003,no_action
1.0,69.92037206461856,0.0,1.4,1.1,125.81800000000003,no_action
3.0,47.27418688889517,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
1.0,30.611800415903456,0.0,1.4,1.1,125.81800000000003,no_action
4.0,38.44506591921888,0.0,5.6,4.4,132.74800000000002,no_action
1.0,41.00889600000001,0.0,1.4,1.1,125.81800000000003,no_action
1.0,76.66785223639135,1.0,1.4,5.1,224.21800000000002,no_action
3.0,46.754415826200606,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
1.0,74.88369969428673,0.0,1.4,1.1,125.81800000000003,no_action
1.0,75.00560601227303,0.0,1.4,1.1,125.81800000000003,no_action
2.0,61.064809337065455,0.0,2.8,2.2,128.12800000000001,no_action
2.0,21.49045547407098,0.0,8.320997957043843,3.219089051858039,130.26808700890192,no_action
2.0,31.264871987730128,0.0,2.8,2.2,128.12800000000001,no_action
1.0,45.18381028871067,0.0,1.4,1.1,125.81800000000003,no_action
2.0,24.73655285703242,0.0,2.8,2.2,128.12800000000001,no_action
1.0,44.88837668101845,0.0,1.4,1.1,125.81800000000003,no_action
1.0,29.841476397817157,1.0,1.4,5.1,224.21800000000002,no_action
1.0,50.00399997814443,0.0,1.4,1.1,125.81800000000003,no_action
3.0,58.61121739551731,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
1.0,27.643746110867053,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.09688564449233,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.09179147733941,0.0,1.4,1.1,125.81800000000003,no_action
1.0,38.09137388150377,0.0,1.4,1.1,125.81800000000003,no_action
1.0,39.96573761492068,0.0,1.4,1.1,125.81800000000003,no_action
1.0,74.80849574333774,0.0,1.4,1.1,125.81800000000003,no_action
1.0,75.0059883868352,0.0,1.4,1.1,125.81800000000003,no_action
1.0,48.84031094174124,0.0,1.4,1.1,125.81800000000003,no_action
1.0,25.4060316,1.0,1.4,5.1,224.21800000000002,no_action
1.0,10.954015978512086,0.0,30.101164847273413,23.19196804297583,172.21113289024927,no_action
2.0,38.71117803553073,0.0,2.8,2.2,128.12800000000001,no_action
1.0,30.24879106681814,0.0,1.4,1.1,125.81800000000003,no_action
1.0,47.48348105693812,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.90930669823268,0.0,1.4,1.1,125.81800000000003,no_action
1.0,59.18762714360272,0.0,1.4,1.1,125.81800000000003,no_action
1.0,57.763998998753,0.0,1.4,1.1,125.81800000000003,no_action
